te_ev,pressure_torr,radius_m,lambda_m,n_ar0,k_iz,nu_ion,nu_wall,dnu,rel_dnu,p_lambda_torr_cm,ne_sub_lo,ne_sub_hi,alpha_sub_hi,n_ar_star,f_star,ne_star,alpha_star,C_wall,C_Te,C_Ar,dlnk_dlnTe,ne_ref,nu_RR,nu_3b,class
0.7,2.0,0.05,0.020314161161742474,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,108.00077518570886,-107.65267749066112,0.9967768963282978,4.062832232348494,44.79071078583706,223.95355392918532,3.4573510560480215e-21,1.140978186652648e+24,-16.614197539364046,nan,nan,nan,nan,nan,nan,223.95355392918532,7.901293472771877e-17,2.4967481530619235e-33,extinction
0.7,2.0,0.1,0.038122848105260086,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,30.6657776531402,-30.31767995809246,0.9886486591344571,7.624569621052017,159.04383018325709,795.2191509162855,1.2276437336999719e-20,6.079822447079062e+23,-8.38591068960659,nan,nan,nan,nan,nan,nan,795.2191509162855,2.805608473864551e-16,3.147983742504639e-32,extinction
0.7,2.0,0.2,0.06271313410453205,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,11.332028269998032,-10.98393057495029,0.9692819602321904,12.54262682090641,438.9903878126994,2194.9519390634973,3.388523768144982e-20,3.6958788771520804e+23,-4.705625347203797,nan,nan,nan,nan,nan,nan,2194.9519390634973,7.743998308977171e-16,2.3983295064304424e-31,extinction
0.7,5.0,0.005,0.002078509543367318,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,4126.488179793909,-4125.617935556289,0.999789107783737,1.0392547716836589,2.9218895315345206,14.609447657672604,9.021511541362557e-23,1.115126694494013e+25,-67.86042908799382,nan,nan,nan,nan,nan,nan,14.609447657672604,5.154351489098106e-18,1.062493822088162e-35,extinction
0.7,5.0,0.01,0.004154068068337296,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,1033.0882784911626,-1032.2180342535432,0.9991576283888437,2.077034034168648,11.678346489780488,58.39173244890244,3.6057604678248883e-22,5.579594360130885e+24,-33.45467350684302,nan,nan,nan,nan,nan,nan,58.39173244890244,2.0601156193674028e-17,1.697311451511731e-34,extinction
0.7,5.0,0.02,0.008284653061723664,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,259.7383031654759,-258.8680589278565,0.9966495344467352,4.142326530861832,46.56657876965986,232.8328938482993,1.437771425915702e-21,2.797704936224846e+24,-16.276168109082565,nan,nan,nan,nan,nan,nan,232.8328938482993,8.21456499409635e-17,2.6986557744037384e-33,extinction
0.7,5.0,0.05,0.020314161161742474,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,43.20031007428355,-42.3300658366642,0.9798556020518613,10.157080580871238,284.7763077791362,1423.881538895681,8.792641609509597e-21,1.140978186652648e+24,-6.04567901574562,nan,nan,nan,nan,nan,nan,1423.881538895681,5.023588914706064e-16,1.0092680809590856e-31,extinction
0.7,5.0,0.1,0.038122848105260086,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,12.266311061256083,-11.396066823636728,0.929054119590357,19.061424052630045,1057.7859926207507,5288.929963103753,3.265978551799677e-20,6.079822447079062e+23,-2.754364275842636,nan,nan,nan,nan,nan,nan,5288.929963103753,1.8659845785985247e-15,1.3924975894801836e-30,extinction
0.7,5.0,0.2,0.06271313410453205,1.6194013154769048e+23,5.373863966283572e-24,0.8702442376193554,4.532811307999213,-3.662567070379858,0.80801225145119,31.356567052266026,3291.298050075778,16456.49025037889,1.0162082797575439e-19,3.6958788771520804e+23,-1.282250138881519,nan,nan,nan,nan,nan,nan,16456.49025037889,5.806005607804188e-15,1.3481345954102102e-29,extinction
0.7,10.0,0.005,0.002078509543367318,3.2388026309538096e+23,5.373863966283572e-24,1.7404884752387109,2063.2440898969544,-2061.5036014217158,0.9991564311349485,2.0785095433673177,11.694958814235909,58.47479407117954,1.8054448119908755e-22,1.115126694494013e+25,-33.43021454399691,nan,nan,nan,nan,nan,nan,58.47479407117954,2.0630461120629704e-17,1.7021437011834329e-34,extinction
